5,3.1:将“您”换成“我”.其实这就是一个简单的思维转化过程。相对于店铺销售，网店最好的购物体验就是不会有导购跟着你进行“扰人”的推荐，购物更加具有目的性，客户的沟通上也会更加直观。此时，客服的话术就要将客户作为主体，以“服务上”的思想进行交涉。;3.2:站在客户利益角度发言.客户利益的辅助维护也是我们客服工作的职责之一，直接将其中利害告诉消费者，同时语气态度要坚决，让其明白这种行为可能会危害到自己的利益。;3.3:拒绝的艺术。当然，客服的工作是为顾客在力所能及的情况下提供更优质的服务，然而面对部分顾客无理的要求，拒绝也应直接且婉转。对话的精髓在于放低自己的职位，手头并没有更多的选择余地且需要与上层沟通，在完成沟通后及时回复顾客就好。
5.1,您搞错了—（换成）我觉得可能是我们的沟通存在误会
5.1,我已经说的很清楚了—（换成）可能是我未解释清楚，令您误解了
5.1,您听明白了吗？—（换成）请问我的解释你清楚吗？
5.1,啊，您说什么？—（换成）对不起，我没有听明白，请您再说一遍好吗？
5.1,您需要—（换成）我建议……/您看是不是可以这样
5.2,这样做主要是为了保护您的利益；
5.2,如果谁都可以帮您办理这么重要的业务，那对您的利益是很没有保障的；
5.3,小姐/先生，我很能理解您的想法，但非常抱歉，您的具体要求我们暂时无法满足我会先把您遇到的情况，反馈给相关部门，查证后再与您联络好吗？;
5.3,您说的这些，确实是有一定的道理，如果我们能帮您一定会尽力，不能帮您的地方，也请您谅解；
5.3,尽管我们目前暂时无法立刻去处理或解决这件事情，但我可以做到的是……；
5.3,先生/小姐，感谢您对我公司的XX业务的关注，目前现在我们还没有拿到最新的资料，建议您先到网站上了解，或者迟点再打给我们咨询；